16, 16, 2
16, 16, 70
16, 14, 150
16, 15, 230
16, 15, 310
16, 15, 384
15, 15, 442
16, 12, 515
16, 16, 595
16, 16, 675
16, 15, 752
16, 11, 825
16, 13, 895
16, 11, 973
15, 13, 1047
11, 7, 1119
5, 16, 1183
5, 16, 1252
11, 15, 1332
5, 16, 1402
3, 16, 1482
0, 15, 1534
0, 15, 1587
0, 14, 1659
1, 15, 1732
0, 14, 1801
0, 16, 1881
0, 16, 1947
0, 16, 2015
0, 16, 2075
0, 16, 2147
1, 16, 2227
0, 16, 2307
0, 16, 2381
1, 16, 2456
3, 16, 2522
0, 16, 2598
0, 15, 2678
1, 16, 2753
0, 16, 2832
0, 16, 2897
0, 16, 2977
0, 16, 3057
1, 16, 3128
0, 16, 3181
0, 15, 3208
1, 16, 3248
0, 14, 3307
0, 16, 3367
0, 16, 3443
0, 16, 3518
0, 15, 3578
0, 16, 3653
0, 16, 3733
0, 16, 3805
0, 16, 3871
0, 16, 3933
1, 16, 3990
0, 16, 4070
0, 16, 4150
0, 16, 4225
0, 16, 4301
1, 16, 4378
0, 15, 4456
0, 13, 4536
0, 10, 4616
1, 11, 4691
0, 7, 4739
0, 10, 4807
0, 12, 4887
0, 16, 4967
0, 16, 5046
0, 15, 5110
0, 16, 5165
0, 16, 5217
1, 16, 5275
0, 15, 5333
1, 14, 5413
0, 15, 5488
0, 11, 5552
0, 12, 5609
0, 12, 5677
0, 9, 5757
1, 9, 5831
0, 8, 5879
0, 13, 5959
0, 10, 6039
0, 12, 6116
0, 15, 6173
1, 15, 6240
3, 16, 6287
0, 16, 6352
0, 16, 6430
0, 16, 6510
0, 16, 6573
0, 16, 6653
0, 16, 6715
0, 15, 6795
0, 15, 6867
0, 16, 6947
0, 16, 7019
0.108 0.118 0.138 0.106 0.118 0.118 0.132 0.074 0.132 0.13  0.166 0.114
 0.118 0.122 0.154 0.118
