0, 0, 0
0, 1, 37
0, 0, 117
1, 1, 197
0, 1, 277
0, 0, 357
0, 0, 404
0, 0, 460
1, 1, 536
0, 0, 616
0, 1, 696
1, 0, 771
1, 0, 800
0, 0, 860
1, 0, 940
0, 2, 1020
0, 0, 1100
0, 0, 1180
0, 2, 1212
0, 5, 1276
0, 7, 1356
1, 13, 1436
0, 13, 1510
1, 16, 1569
0, 16, 1624
0, 16, 1699
0, 16, 1779
0, 13, 1859
1, 12, 1935
3, 12, 2015
0, 14, 2058
0, 13, 2106
0, 13, 2182
0, 14, 2255
1, 16, 2335
0, 16, 2400
0, 15, 2452
0, 15, 2528
0, 9, 2597
0, 9, 2677
1, 8, 2757
1, 3, 2825
1, 4, 2888
1, 2, 2965
0, 0, 3036
0, 0, 3116
0, 0, 3184
0, 0, 3256
0, 0, 3336
1, 1, 3392
0, 4, 3456
0, 5, 3536
1, 6, 3611
0, 4, 3691
1, 6, 3768
2, 7, 3848
5, 7, 3909
1, 9, 3979
5, 11, 4057
3, 13, 4137
0, 16, 4199
0, 14, 4253
0, 16, 4310
1, 16, 4386
0, 16, 4462
0, 16, 4523
0, 16, 4592
0, 14, 4650
0, 15, 4703
0, 16, 4778
1, 16, 4858
7, 15, 4925
10, 16, 4985
9, 16, 5063
6, 16, 5139
4, 16, 5212
1, 15, 5292
0, 15, 5355
0, 12, 5407
2, 12, 5477
4, 8, 5557
0, 3, 5637
1, 3, 5717
0, 1, 5776
2, 2, 5840
4, 5, 5881
5, 7, 5937
4, 9, 6017
5, 7, 6088
2, 11, 6157
4, 8, 6237
5, 7, 6304
5, 12, 6384
1, 16, 6447
1, 16, 6507
0, 16, 6581
1, 16, 6645
0, 16, 6712
0, 16, 6790
0, 15, 6848
1, 16, 6916
0.14  0.118 0.124 0.098 0.166 0.128 0.128 0.098 0.158 0.152 0.148 0.12
 0.168 0.152 0.16  0.11
