N,L,score,idlePercent
0,0,0.0,1.0
0,0,165.0,0.67
1,0,520.0,0.48
2,0,995.0,0.3366666666666667
3,0,1470.0,0.265
1,1,1925.0,0.23000000000000007
1,2,2275.0,0.24166666666666664
0,2,2640.0,0.24571428571428572
0,3,3090.0,0.22750000000000004
0,5,3585.0,0.2033333333333333
0,5,3990.0,0.20200000000000004
0,5,4490.0,0.18363636363636365
0,6,4975.0,0.1708333333333333
0,5,5475.0,0.1576923076923077
0,6,5960.0,0.14857142857142858
0,4,6375.0,0.15000000000000002
0,5,6875.0,0.140625
1,3,7270.0,0.14470588235294118
0,2,7615.0,0.1538888888888889
1,5,7930.0,0.1652631578947369
1,6,8305.0,0.1695
3,10,8745.0,0.16714285714285712
1,10,9190.0,0.16454545454545455
2,12,9660.0,0.15999999999999998
1,13,10160.0,0.1533333333333333
2,10,10595.0,0.1524
1,9,10950.0,0.15769230769230771
1,7,11370.0,0.1577777777777778
2,4,11835.0,0.15464285714285717
3,1,12335.0,0.1493103448275862
4,1,12745.0,0.15033333333333337
7,3,13100.0,0.15483870967741933
8,1,13575.0,0.1515625
8,1,14075.0,0.146969696969697
7,2,14535.0,0.145
6,1,14910.0,0.14799999999999996
5,2,15270.0,0.15166666666666667
4,3,15650.0,0.1540540540540541
3,3,16035.0,0.1560526315789474
5,3,16495.0,0.15410256410256412
8,4,16880.0,0.15600000000000003
8,6,17375.0,0.15243902439024393
5,6,17875.0,0.1488095238095238
6,5,18330.0,0.1474418604651163
9,6,18700.0,0.15000000000000002
9,8,19185.0,0.14733333333333334
8,6,19565.0,0.14934782608695657
8,1,20000.0,0.14893617021276598
11,1,20260.0,0.15583333333333332
12,0,20545.0,0.16142857142857142
10,0,21000.0,0.16000000000000003
11,0,21475.0,0.15784313725490198
13,0,21975.0,0.15480769230769234
17,1,22415.0,0.15415094339622643
19,1,22855.0,0.15351851851851855
19,1,23290.0,0.1530909090909091
18,1,23790.0,0.15035714285714288
19,1,24190.0,0.15122807017543863
18,4,24505.0,0.155
19,9,24800.0,0.1593220338983051
19,6,25265.0,0.15783333333333333
20,10,25765.0,0.15524590163934426
20,10,26200.0,0.15483870967741936
20,9,26655.0,0.15380952380952378
18,3,27155.0,0.15140625000000002
19,2,27605.0,0.15061538461538462
19,1,28085.0,0.14893939393939395
15,0,28525.0,0.14850746268656717
15,0,29000.0,0.14705882352941174
13,1,29470.0,0.14579710144927532
14,1,29845.0,0.14728571428571427
13,2,30175.0,0.14999999999999997
11,1,30485.0,0.15319444444444447
11,1,30895.0,0.15356164383561643
11,1,31350.0,0.1527027027027027
11,2,31775.0,0.15266666666666667
